"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;17;4
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;22;10
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;21;9
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;19;6
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;17;3
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;19;11
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;21;12
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;18;7
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;17;6
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;19;7
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;18;6
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;19;6
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;17;7
Baden-Württemberg;DEBW030;"Welzheimer Wald";"ländliches Gebiet";Hintergrund;13;4
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;9;1
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;18;7
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;18;6
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;11;1
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;17;9
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;15;3
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;20;11
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;16;3
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;20;12
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;18;5
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;16;3
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;19;13
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;14;3
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;18;7
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;15;6
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;13;2
Baden-Württemberg;DEBW103;Odenwald;"ländliches Gebiet";Hintergrund;12;0
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;17;8
Baden-Württemberg;DEBW110;Pfullendorf;"vorstädtisches Gebiet";Hintergrund;17;4
Baden-Württemberg;DEBW111;Offenburg;"vorstädtisches Gebiet";Hintergrund;17;7
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;17;8
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;19;7
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;19;9
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"städtisches Gebiet";Verkehr;21;7
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"städtisches Gebiet";Verkehr;21;11
Baden-Württemberg;DEBW040;Waldshut;"vorstädtisches Gebiet";Verkehr;17;6
