GENESIS-Tabelle: 14343-01-03-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2016;13;Mecklenburg-Vorpommern;1328320;61,9;806419;153115;246395;38836;24521;106256;167852;69444
04.09.2016;13001;    Kreisfreie Stadt Greifswald, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13003;    Kreisfreie Stadt Rostock, Hansestadt;168495;63,2;105125;16191;34315;8457;3222;17434;17689;7817
04.09.2016;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;76935;65,2;49030;8638;17224;3161;1531;6976;7807;3693
04.09.2016;13005;    Kreisfreie Stadt Stralsund, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13006;    Kreisfreie Stadt Wismar, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13051;    Landkreis Bad Doberan;-;-;-;-;-;-;-;-;-;-
04.09.2016;13052;    Landkreis Demmin;-;-;-;-;-;-;-;-;-;-
04.09.2016;13053;    Landkreis Güstrow;-;-;-;-;-;-;-;-;-;-
04.09.2016;13054;    Landkreis Ludwigslust;-;-;-;-;-;-;-;-;-;-
04.09.2016;13055;    Landkreis Mecklenburg-Strelitz;-;-;-;-;-;-;-;-;-;-
04.09.2016;13056;    Landkreis Müritz;-;-;-;-;-;-;-;-;-;-
04.09.2016;13057;    Landkreis Nordvorpommern;-;-;-;-;-;-;-;-;-;-
