"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;22;10
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;26;22
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;26;21
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;24;11
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;22;12
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;24;12
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;26;22
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;25;18
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;21;7
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;22;11
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;24;13
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;20;8
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;23;16
Baden-Württemberg;DEBW030;"Welzheimer Wald";"ländliches Gebiet";Hintergrund;16;4
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;10;0
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;22;13
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;23;13
Baden-Württemberg;DEBW035;Böblingen;"städtisches Gebiet";Hintergrund;20;9
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;14;1
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;23;14
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;19;4
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;26;21
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;22;13
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;24;18
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;24;13
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;21;13
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;22;8
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;19;5
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;21;9
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;18;5
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;16;2
Baden-Württemberg;DEBW094;Isny;"vorstädtisches Gebiet";Hintergrund;21;8
Baden-Württemberg;DEBW103;Odenwald;"ländliches Gebiet";Hintergrund;16;1
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;22;9
Baden-Württemberg;DEBW110;Pfullendorf;"vorstädtisches Gebiet";Hintergrund;20;8
Baden-Württemberg;DEBW111;Offenburg;"vorstädtisches Gebiet";Hintergrund;21;8
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;22;10
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;24;14
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"städtisches Gebiet";Verkehr;26;17
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"städtisches Gebiet";Verkehr;28;26
Baden-Württemberg;DEBW040;Waldshut;"vorstädtisches Gebiet";Verkehr;23;9
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;30;22
Baden-Württemberg;DEBW097;Freiburg-Straße;"städtisches Gebiet";Verkehr;26;15
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;32;43
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;35;37
Baden-Württemberg;DEBW114;"Schwäbisch Gmünd Lorcher Straße (S)";"städtisches Gebiet";Verkehr;36;51
Baden-Württemberg;DEBW115;"Mannheim Luisenring";"städtisches Gebiet";Verkehr;33;43
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"städtisches Gebiet";Verkehr;38;62
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"städtisches Gebiet";Verkehr;41;79
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"städtisches Gebiet";Verkehr;55;187
Baden-Württemberg;DEBW119;"Stuttgart Siemensstraße (S)";"städtisches Gebiet";Verkehr;37;51
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"städtisches Gebiet";Verkehr;27;16
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"städtisches Gebiet";Verkehr;36;55
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"städtisches Gebiet";Verkehr;33;21
Baden-Württemberg;DEBW123;"Reutlingen Lederstraße (S)";"städtisches Gebiet";Verkehr;28;17
Baden-Württemberg;DEBW140;"Mannheim Seckenheim (S)";"städtisches Gebiet";Verkehr;26;16
Bayern;DEBY002;Arzberg/Egerstraße;"vorstädtisches Gebiet";Hintergrund;27;24
Bayern;DEBY003;"Aschaffenburg/Schweinheimer Straße";"städtisches Gebiet";Hintergrund;26;12
Bayern;DEBY004;"Kleinwallstadt/Hofstetter Straße";"vorstädtisches Gebiet";Hintergrund;23;9
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;24;10
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;27;28
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;27;20
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;27;28
Bayern;DEBY013;Mehring/Sportplatz;"ländlich regional";Hintergrund;23;16
Bayern;DEBY020;Hof/LfU;"vorstädtisches Gebiet";Hintergrund;24;21
Bayern;DEBY030;"Saal a.d. Donau/Regensburger Straße";"vorstädtisches Gebiet";Hintergrund;27;25
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;20;8
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;25;12
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;25;24
Bayern;DEBY047;"Naila/Selbitzer Berg";"ländlich stadtnah";Hintergrund;21;7
Bayern;DEBY049;"Neustadt a.d. Donau/Eining";"ländlich regional";Hintergrund;23;14
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;29;34
Bayern;DEBY058;Nürnberg/Muggenhof;"städtisches Gebiet";Hintergrund;27;20
Bayern;DEBY062;"Regen/Bodenmaiser Straße";"vorstädtisches Gebiet";Hintergrund;20;7
Bayern;DEBY067;"Schwandorf/Wackersdorfer Straße";"vorstädtisches Gebiet";Hintergrund;27;30
Bayern;DEBY068;Schweinfurt/Obertor;"städtisches Gebiet";Hintergrund;25;14
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;18;3
Bayern;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"städtisches Gebiet";Hintergrund;26;22
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;23;20
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;24;18
